Ladeira Anthero Braído, no. 12, 21389-401, Jardim Camburi, Iúna, TO, 
Escadaria Antenor Passos, no. 82, 18288-033, Maria Ortiz, Linhares, TO, 
Rua Anselmo Serrat, no. 86, 13419-564, Fradinhos, Nova Venécia, TO, 
Rua Angelindo Carareto, no. 47, 27317-244, Redenção, Manguinhos, TO, 
Praça Anita Francisca Crystello, no. 61, 22868-86, São Benedito, Alegre, TO, 
Rua Antiocho Carneiro de Mendonça, no. 6, 23886-91, Enseada do Suá, Manguinhos, TO, 
Escadaria Anselmo Serrat, no. 24, 25317-505, Consolação, Alfre Chaves, TO, 
Praça Anita Francisca Crystello, no. 86, 17794-147, Gurigica, Linhares, TO, 
Rua Antário Alexandre Theodoro Filho, no. 25, 19852-192, Santa Lúcia, Muniz Freire, TO, 
Rua Antário Alexandre Theodoro Filho, no. 89, 69120-66, Centro, Viana, TO, 
Avenida Anísio Fernandes Coelho, no. 18, 16878-708, Andorinhas, Vila-Velha, TO, 
Rua Anníbal Vieira Rabayolli, no. 89, 65099-74, Santos Dumont, Manguinhos, TO, 
Beco Anna Anastácia Cirilo, no. 8, 84793-67, Maruípe, Alfre Chaves, TO, 
Escadaria Andrelino Pereira, no. 35, 23518-318, Santa Martha, Alfre Chaves, TO, 
Rua Ângelo Ripoli, no. 63, 25317-505, Santa Martha, Alfre Chaves, TO, 
Escadaria Anselmo Serrat, no. 34, 15462-821, Jucutuquara, Vila-Velha, TO, 
Praça Anita Francisca Crystello, no. 41, 17312-479, do Moscoso, Iúna, TO, 
Rua Anníbal Vieira Rabayolli, no. 5, 15797-789, Jabour, Serra, TO, 
Rua Antônio Aleixo, no. 66, 16878-708, Bela Vista, Cachoeiro, TO, 
Rua Ângelo Zardine, no. 7, 13142-148, Enseada do Suá, Vila-Velha, TO, 
Rua Ângelo Carão, no. 77, 21805-930, Tabuazeiro, Alfre Chaves, TO, 
Praça Anita Francisca Crystello, no. 59, 14616-760, Jardim Camburi, Viana, TO, 
Rua Antonieta Tatagiba, no. 62, 56707-28, Monte Belo, Alfre Chaves, TO, 
Rua Antônio Aleixo, no. 91, 21289-952, Forte São João, Jacaraípe, TO, 
Praça Anníbal Anthero Martins, no. 53, 36073-18, Andorinhas, Nova Venécia, TO, 
Rua Antonino Ribeiro, no. 18, 28044-574, Consolação, Iconha, TO, 
Rua Anestor Pedro, no. 88, 27339-739, Bento Ferreira, Serra, TO, 
Escadaria Antenor Passos, no. 17, 17942-180, Centro, Iconha, TO, 
Avenida Anísio Fernandes Coelho, no. 96, 17744-506, Enseada do Suá, Viana, TO, 
Rua Ângelo Ripoli, no. 11, 10417-276, Santos Dumont, Alfre Chaves, TO, 
Rua Anníbal Vieira Rabayolli, no. 77, 16720-576, Forte São João, Linhares, TO, 
Beco Antenor Falcão, no. 46, 15190-608, Horto, Alfre Chaves, TO, 
Rua Angelindo Carareto, no. 80, 23095-883, Santa Lúcia, Muniz Freire, TO, 
Rua Anestor Pedro, no. 93, 19232-923, Tabuazeiro, Colatina, TO, 
Rua Ângela Roza Simonelli, no. 25, 23886-91, do Moscoso, Linhares, TO, 
Praça Anníbal Anthero Martins, no. 79, 26517-482, Caratoíra, Iúna, TO, 
